customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaymentMethod,InternetService,TechSupport,OnlineSecurity,MonthlyCharges,TotalCharges,Churn
CUST1000,Male,0,No,No,56,Month-to-month,Electronic check,DSL,No,No,96.36,5407.82,Yes
CUST1001,Female,0,No,No,26,Month-to-month,Mailed check,DSL,No,No,58.9,1513.61,No
CUST1002,Male,1,Yes,No,4,Month-to-month,Mailed check,DSL,Yes,Yes,101.24,448.73,Yes
CUST1003,Male,0,No,No,70,Month-to-month,Mailed check,DSL,No,No,90.25,6301.98,Yes
CUST1004,Male,0,No,No,56,Month-to-month,Bank transfer,DSL,No,Yes,102.53,5621.52,Yes
CUST1005,Female,0,No,Yes,14,One year,Credit card,DSL,No,Yes,47.14,682.14,Yes
CUST1006,Male,0,No,No,29,Month-to-month,Electronic check,DSL,No,No,36.88,968.0,No
CUST1007,Male,1,Yes,No,19,Two year,Credit card,No,No,No,117.13,2236.19,No
CUST1008,Male,0,No,Yes,36,Month-to-month,Mailed check,DSL,No,No,91.17,3243.55,Yes
CUST1009,Female,0,Yes,No,2,Two year,Electronic check,DSL,No,No,103.07,217.77,Yes
CUST1010,Male,0,No,Yes,72,Month-to-month,Electronic check,Fiber optic,No,No,19.34,1320.3,Yes
CUST1011,Male,1,Yes,No,40,One year,Bank transfer,No,No,Yes,54.16,2205.32,Yes
CUST1012,Male,1,Yes,No,38,Month-to-month,Credit card,Fiber optic,No,No,93.77,3565.14,Yes
CUST1013,Male,0,Yes,No,25,Month-to-month,Bank transfer,DSL,No,Yes,25.95,631.54,No
CUST1014,Female,0,No,Yes,1,Two year,Mailed check,Fiber optic,Yes,No,75.87,0.0,Yes
CUST1015,Male,1,Yes,Yes,22,Month-to-month,Credit card,Fiber optic,No,Yes,61.77,1449.47,Yes
CUST1016,Female,0,No,Yes,22,One year,Mailed check,Fiber optic,Yes,No,19.8,390.26,Yes
CUST1017,Female,0,Yes,No,15,One year,Bank transfer,Fiber optic,Yes,No,42.07,644.2,Yes
CUST1018,Female,1,Yes,No,8,Month-to-month,Bank transfer,No,Yes,No,47.05,328.96,No
CUST1019,Male,0,No,No,12,Month-to-month,Electronic check,No,No,Yes,29.41,541.79,Yes
